股票代码	股票名称	当前价	涨跌额	涨跌幅(%)	年初至今(%)	成交量(万)	成交额(亿)	换手率(%)	市盈率(TTM)	股息率(%)	市值(亿)
SH688216	气派科技	24.66	0.24	0.98%	-3.37%	2763.7567	1.47	2.65%	亏损	0	26.206182
SH688136	科兴制药	19.59	0.19	0.98%	-8.63%	2083.896	1.01	1.59%	亏损	0	38.92545734
SH688045	必易微	56.34	0.54	0.97%	3.00%	3327.3338	1.15	3.90%	600.628	0	38.90217223
SH688253	英诺特	25.02	0.24	0.97%	5.04%	2358.304	0.7	3.17%	19.109	0.663	34.04241616
SH688096	京源环保	13.65	0.13	0.96%	13.09%	1514.6963	1.48	1.27%	28.404	1.099	14.74140513
SH688092	爱科科技	26.25	0.25	0.96%	13.05%	1494.1619	1.42	2.13%	33.75	0.914	15.56591689
SH688052	纳芯微	277.61	2.61	0.95%	-12.59%	14379.9679	1.23	0.99%	167.147	0.288	280.5637704
SH688235	百济神州	150.18	1.3	0.87%	13.39%	22426.7271	1.13	1.34%	亏损	0	2000.676127
SH688390	固德威	274.49	2.34	0.86%	-15.04%	88848.3953	0.92	3.98%	34.639	0.583	338.17168
SH688206	概伦电子	27.21	0.22	0.82%	-3.24%	5383.431	0.85	1.36%	297.38	0.257	118.0381895
SH688503	聚和材料	111.5	0.9	0.81%	-25.22%	6533.2783	0.96	2.48%	30.316	0.483	124.7804684
SH688625	呈和科技	41.37	0.33	0.80%	-15.43%	1117.9526	0.83	0.34%	27.538	0	55.16002758
SH688019	安集科技	235.84	1.84	0.79%	31.02%	37178.5609	1.23	2.12%	53.008	0.178	179.1775769
SH688658	悦康药业	23.31	0.18	0.78%	20.65%	15666.0958	1.66	3.29%	29.398	4.719	104.895
SH688401	路维光电	43.83	0.33	0.76%	0.55%	3186.6695	0.87	2.45%	44.222	0.502	58.44011688
SH688628	优利德	44.3	0.33	0.75%	54.09%	4179.541	0.55	2.10%	46.49	0.858	48.917832
SH688321	微芯生物	22.87	0.17	0.75%	4.05%	9730.315	1.24	1.33%	亏损	0	94.06128979
SH688607	康众医疗	20.4	0.15	0.74%	7.65%	2907.0387	1.08	2.12%	亏损	0	17.97832151
SH688312	燕麦科技	16.31	0.12	0.74%	5.16%	1506.5412	1.09	1.34%	32.316	1.226	23.62479622
SH688071	华依科技	47.62	0.35	0.74%	-15.73%	2443.9316	0.74	1.42%	77.595	0	40.36665636
SH688233	神工股份	33.63	0.23	0.69%	-17.36%	8944.494	1.01	1.67%	55.957	0.297	53.808
SH688536	思瑞浦	236.6	1.6	0.68%	-14.09%	12578.1259	1.05	0.82%	160.679	0.087	284.3824986
SH688513	苑东生物	56.54	0.38	0.68%	-7.07%	644.818	0.73	0.19%	26.763	0.99	67.898886
SH688439	振华风光	104.6	0.7	0.67%	-12.01%	7812.4734	0.91	1.68%	60.605	0.362	209.2
SH688223	晶科能源	12.11	0.08	0.67%	-17.34%	42574.3056	0.77	1.79%	28.881	0.735	1211
SH688280	精进电动	7.53	0.05	0.67%	-4.68%	2441.6154	1.58	0.70%	亏损	0	44.44369153
SH688239	航宇科技	65.36	0.43	0.66%	-15.87%	10806.9284	1.07	1.64%	52.476	0	95.54456043
SH688553	汇宇制药	16.1	0.1	0.63%	3.27%	1960.8223	0.59	0.42%	40.549	1.46	68.1996
SH688185	康希诺	95	0.57	0.60%	-34.94%	12709.4241	0.87	1.99%	亏损	0	235.0774041
SH688265	南模生物	41.86	0.24	0.58%	-14.57%	314.9282	0.9	0.15%	亏损	0	32.63552654
SH688286	敏芯股份	47.48	0.27	0.57%	-3.69%	2040.7239	0.79	1.20%	亏损	0	25.44578262
SH688380	中微半导	29.21	0.16	0.55%	7.63%	8195.6579	1.17	4.94%	156.005	1.541	116.9466165
SH688819	天能股份	36	0.19	0.53%	-2.01%	11353.1331	1.59	2.40%	16.763	1.667	349.956
SH688356	键凯科技	119.14	0.62	0.52%	-23.90%	3211.1339	0.51	0.74%	39.557	0.781	71.8271232
SH688567	孚能科技	21.7	0.11	0.51%	-19.72%	7595.0856	0.71	0.43%	亏损	0	264.2357703
SH688313	仕佳光子	11.96	0.06	0.50%	32.15%	24814.8036	1.56	6.42%	143.449	0.418	54.87275843
SH688255	凯尔达	37.17	0.17	0.46%	44.57%	2116.5664	0.92	1.15%	95.443	0.699	29.14671091
SH688305	科德数控	91.9	0.4	0.44%	3.84%	10918.0427	0.79	2.46%	107.293	0	85.63035868
SH688396	华润微	60.33	0.26	0.43%	14.59%	20942.1385	0.66	0.26%	33.49	0.328	796.4114197
SH688601	力芯微	70	0.3	0.43%	24.14%	6462.0159	1.31	1.98%	58.046	0.714	62.72
SH688249	晶合集成	19.09	0.08	0.42%	-3.88%	69200.5502	0.92	10.29%	27.21		382.9712015
SH688029	南微医学	90.5	0.37	0.41%	10.19%	23673.5154	1.07	1.40%	43.736	0.608	170.0019169
SH688718	唯赛勃	17.13	0.07	0.41%	-13.96%	1473.2201	0.93	1.58%	77.107	0	29.76412684
SH688778	厦钨新能	71.5	0.29	0.41%	-7.96%	21920.1264	1.22	3.27%	21.038	0.699	214.8937612
SH688199	久日新材	30.98	0.12	0.39%	-1.78%	1585.6	0.62	0.54%	亏损	0	34.45806264
SH688793	倍轻松	54.2	0.21	0.39%	10.54%	8001.6512	2.1	6.37%	亏损	0	33.40888
SH688565	力源科技	8.02	0.03	0.38%	-9.48%	1815.9771	1.84	2.32%	亏损	0	12.6601314
SH688558	国盛智科	31.8	0.12	0.38%	-9.32%	4131.1232	1.23	3.28%	23.359	1.572	41.976
SH688259	创耀科技	53.17	0.18	0.34%	-29.12%	4897.3078	0.73	1.62%	52.738	0.658	42.536
SH688106	金宏气体	24.97	0.08	0.32%	33.10%	7231.7888	0.65	1.09%	48.502	0.997	121.5745523
SH688003	天准科技	34.99	0.11	0.32%	10.73%	4406.2231	0.87	0.65%	44.748	0.857	68.1258799
SH688668	鼎通科技	53.63	0.17	0.32%	-18.74%	4023.7263	0.79	2.29%	31.282	1.305	53.00741148
SH688505	复旦张江	9.34	0.03	0.32%	11.86%	2541.9469	0.78	1.01%	68.248	0.739	96.81583414
SH688420	美腾科技	40.12	0.12	0.30%	-1.71%	1665.4909	0.9	2.04%	28.09	0.872	35.478116
SH688376	美埃科技	34.98	0.1	0.29%	11.83%	1999.6333	0.74	1.85%	36.24	0.286	47.01312
SH688586	江航装备	18.11	0.05	0.28%	11.10%	4219.055	0.84	0.92%	41.343	0.994	102.3653722
SH688160	步科股份	33.85	0.09	0.27%	18.00%	1756.8914	0.29	1.88%	31.612	1.182	28.434
SH688032	禾迈股份	529.47	1.44	0.27%	-43.50%	38586.4689	0.81	2.59%	47.699	1.001	296.5032
SH688311	盟升电子	64.76	0.16	0.25%	-20.27%	4317.479	0.62	1.00%	393.667	0	74.5050848
SH688055	龙腾光电	4.18	0.01	0.24%	3.98%	1207.0336	0.86	0.16%	亏损	0.239	139.3333361
SH688215	瑞晟智能	34.52	0.08	0.23%	12.26%	980.6691	1.1	1.78%	121.389	0.348	13.821808
SH688559	海目星	42.96	0.09	0.21%	-25.73%	8045.3433	0.7	1.43%	21.619	0.466	86.6617044
SH688278	特宝生物	43.39	0.09	0.21%	11.46%	4931.142	0.94	0.41%	56.26	0.491	176.51052
SH688510	航亚科技	18.68	0.04	0.21%	17.48%	4329.0682	1.07	1.40%	157.584	0	48.26587117
SH688363	华熙生物	96.98	0.18	0.19%	-28.31%	19316.6742	0.87	1.01%	48.06	0.628	466.9798921
SH688238	和元生物	16.76	0.03	0.18%	-12.07%	2178.3247	0.72	0.58%	亏损	0	82.6584764
SH688578	艾力斯	27.12	0.05	0.18%	37.80%	8031.351	0.98	1.42%	64.89	0	122.04
SH688163	赛伦生物	23.12	0.04	0.17%	9.63%	955.5069	1.64	0.96%	39.595	3.244	25.020464
SH688379	华光新材	17.44	0.03	0.17%	6.99%	1243.7877	0.83	1.52%	149.564	0	15.47756749
SH688395	正弦电气	22.39	0.03	0.13%	23.98%	2104.272	1.11	2.78%	39.702	0.715	19.2554
SH688585	上纬新材	8.17	0.01	0.12%	2.00%	731.2525	1.14	1.07%	39.833	0.269	32.94144
SH688296	和达科技	16.9	0.02	0.12%	-34.67%	1709.501	0.96	1.76%	36.317	0.888	18.14944404
SH688479	C友车	28.33	0.03	0.11%	-16.65%	14659.2438	0.54	15.78%	37.286	0	40.88511942
SH688196	卓越新能	48.34	0.04	0.08%	-14.03%	1214.3447	0.75	0.83%	13.719	3.206	58.008
SH688083	中望软件	192.5	0.16	0.08%	-1.07%	6633.9064	0.51	0.71%	1999.097	0.26	166.8492268
SH688220	翱捷科技	69.05	0.05	0.07%	13.77%	21004.5391	1.42	1.34%	亏损	0	288.8367639
SH688360	德马科技	26.89	0.02	0.07%	9.35%	1052.4962	1.12	0.93%	26.717	1.078	23.03843747
SH688728	格科微	16.09	0.01	0.06%	-8.27%	9657.5017	0.7	0.54%	589.974	0.199	402.0709461
SH688151	华强科技	20.15	0.01	0.05%	5.66%	713.6828	0.51	0.36%	485.749	0.377	69.41675
SH688234	天岳先进	80.07	0.04	0.05%	2.65%	9235.2775	0.62	0.82%	亏损	0	344.0696329
SH688289	圣湘生物	18.29	0.01	0.05%	-16.67%	3961.6542	0.73	0.62%	8.002	7.097	107.629298
SH688121	卓然股份	35.7	0.01	0.03%	46.07%	8130.4407	0.76	1.62%	45.163	0.686	72.35200012
SH688101	三达膜	13.57	0	0.00%	4.95%	1092.424	1.05	0.24%	21.696	0	45.307516
SH688211	中科微至	41.75	0	0.00%	0.34%	3296.139	0.92	1.23%	亏损	0	54.94663142
SH688555	ST泽达	4.14	0	0.00%	7.53%		2.51	None%	亏损	0	3.440754
SH688075	安旭生物	67.32	0	0.00%	-20.14%	1425.7668	0.54	0.97%	14.768	7.427	61.10867442
SH688448	磁谷科技	24.15	0	0.00%	2.72%	515.7704	0.47	1.27%	34.519	0	17.20955565
SH688086	*ST紫晶	2.42	0	0.00%	0.00%		2.81	None%	亏损	0	4.60723237
SH688138	清溢光电	21.43	0	0.00%	17.75%	4368.9198	0.86	0.77%	54.357	0.56	57.17524
SH688098	申联生物	7.59	0	0.00%	-4.41%	870.2883	0.77	0.28%	58.766	1.054	31.1678796
SH688303	大全能源	39.91	0	0.00%	-9.57%	22046.4887	0.85	1.09%	4.814	9.02	853.0348294
SH688655	迅捷兴	13.59	0	0.00%	18.69%	2977.3588	1.02	3.15%	36.627	0.552	18.127701
SH688506	百利天恒	95.1	-0.01	-0.01%	285.02%	16334.1836	0.92	5.08%	亏损	0	381.351
SH688060	云涌科技	53.86	-0.01	-0.02%	-7.93%	1091.8886	0.72	0.77%	217.545	0	32.40140472
SH688368	晶丰明源	140.37	-0.03	-0.02%	25.67%	12800.6842	1.25	1.45%	亏损	0	88.29803599
SH688061	灿瑞科技	64.42	-0.01	-0.02%	-30.99%	2989.561	1.05	2.53%	48.673	0.854	49.67231265
SH688068	热景生物	44.36	-0.01	-0.02%	-27.16%	4303.0072	0.93	1.05%	10.269	0	40.83363951
SH688355	明志科技	25	-0.01	-0.04%	-26.32%	1629.8178	0.56	1.67%	97.012	0.2	30.989018
SH688669	聚石化学	23.15	-0.01	-0.04%	7.98%	1351.0238	1.11	1.25%	50.706	0.432	21.60666682
SH688013	天臣医疗	21.46	-0.01	-0.05%	10.68%	1301.8626	0.89	1.54%	36.568	1.165	17.41599176
SH688115	思林杰	31.95	-0.02	-0.06%	-17.55%	603.489	0.97	0.65%	76.188	1.408	21.301065
SH688198	佰仁医疗	110.79	-0.07	-0.06%	-14.12%	1818.844	0.64	0.12%	161.227	0.451	150.3116603
SH688681	科汇股份	14.82	-0.01	-0.07%	16.14%	2239.4771	1.4	2.26%	1330.124	0.675	15.512094
SH688260	昀冢科技	15.3	-0.01	-0.07%	9.99%	2252.4445	1.09	2.16%	亏损	0	18.36
SH688089	嘉必优	30.08	-0.02	-0.07%	-33.63%	3431.7307	0.89	1.75%	65.091	0.997	36.096
SH688162	巨一科技	37.7	-0.03	-0.08%	-12.97%	1475.841	0.7	0.83%	38.59	0.875	51.7800075
SH688526	科前生物	24.23	-0.02	-0.08%	8.17%	3518.1484	0.65	1.16%	24.866	0.784	112.9621926
SH688370	丛麟科技	37.15	-0.03	-0.08%	5.15%	373.7072	0.55	0.41%	23.938	7.537	39.5276
SH688557	兰剑智能	33.64	-0.03	-0.09%	-0.62%	966.1366	0.75	0.65%	26.182	1.13	24.446188
SH688539	高华科技	35.84	-0.04	-0.11%	-6.23%	7845.5585	0.95	7.81%	56.34	0.837	47.59552
SH688701	卓锦股份	9.2	-0.01	-0.11%	12.06%	791.3506	0.6	1.31%	亏损	0	12.35351822
SH688739	成大生物	35.2	-0.04	-0.11%	15.71%	5181.8095	0.6	0.82%	21.241	2.841	146.5904
SH688133	泰坦科技	110.82	-0.13	-0.12%	-19.97%	7408.8925	0.71	1.11%	71.406	0.18	93.16820918
SH688006	杭可科技	47	-0.06	-0.13%	7.38%	12759.6363	0.76	0.62%	33.376	0.745	202.6613652
SH688484	南芯科技	39.62	-0.05	-0.13%	-0.93%	11467.3359	1.08	5.29%	112.55		167.802586
SH688410	山外山	50.43	-0.07	-0.14%	99.56%	14140.646	1.54	8.38%	57.877	0	72.98746961
SH688480	赛恩斯	26.19	-0.04	-0.15%	18.40%	1128.3054	0.71	2.24%	34.899	1.947	24.83510409
SH688155	先惠技术	50.84	-0.08	-0.16%	-2.77%	1279.8914	0.89	0.76%	亏损	0	38.98214754
SH688622	禾信仪器	34.54	-0.06	-0.17%	6.28%	1626.568	1.25	1.23%	亏损	0	24.17717311
SH688606	奥泰生物	97.26	-0.17	-0.17%	-6.84%	929.3064	0.66	0.40%	29.822	10.282	52.42717143
SH688707	振华新材	32.9	-0.06	-0.18%	-26.81%	6597.3703	0.68	0.72%	14.567	2.128	145.7255525
SH688297	中无人机	47.98	-0.1	-0.21%	6.79%	15122.6974	0.64	2.44%	107.929	0.734	323.865
SH688219	会通股份	9.17	-0.02	-0.22%	9.04%	503.3108	0.69	0.17%	91.589	0.218	42.11630905
SH688560	明冠新材	29.57	-0.07	-0.24%	-36.13%	6080.609	0.84	2.26%	65.466	0.609	59.52497715
SH688126	沪硅产业	20.15	-0.05	-0.25%	14.42%	44232.9388	0.63	0.81%	123.7	0	550.4292194
SH688156	路德环境	34.4	-0.09	-0.26%	14.86%	4198.0034	0.84	1.70%	123.335	0.872	31.77657344
SH688102	斯瑞新材	14.61	-0.04	-0.27%	-11.40%	870.6555	0.49	0.34%	85.437	0.548	58.441461
SH688111	金山办公	413.85	-1.15	-0.28%	56.47%	117714.0194	0.69	0.61%	168.332	0.176	1908.945161
SH688173	希荻微	21.2	-0.06	-0.28%	-6.73%	3790.3121	0.71	1.06%	298.037	0	86.28990568
SH688322	奥比中光	27.73	-0.08	-0.29%	28.68%	3993.743	1.15	4.39%	亏损	0	110.9202773
SH688331	荣昌生物	63.51	-0.19	-0.30%	-18.04%	10483.2954	1.1	1.02%	亏损	0	345.6614332
SH688063	派能科技	235.01	-0.74	-0.31%	-25.55%	72498.9595	0.82	3.67%	25.27	0.928	412.7394452
SH688528	秦川物联	9.64	-0.03	-0.31%	-5.40%	817.3198	1.56	1.61%	亏损	0	16.1952
SH688217	睿昂基因	41.77	-0.14	-0.33%	18.16%	1412.8921	0.94	0.92%	52.646	0	23.21453796
SH688057	金达莱	15.27	-0.05	-0.33%	10.17%	1092.0092	1.19	0.51%	16.362	6.549	42.1452
SH688175	高凌信息	32.72	-0.11	-0.34%	-6.81%	704.0327	0.68	0.68%	40.196	0.917	30.39896721
SH688383	新益昌	119.27	-0.41	-0.34%	25.71%	8606.5046	0.97	2.34%	63.4	0.252	121.8147447
SH688388	嘉元科技	38.47	-0.13	-0.34%	-14.23%	6110.3065	0.75	0.54%	30.555	1.43	117.1241209
SH688132	邦彦技术	23.8	-0.08	-0.34%	-2.46%	3470.0249	0.94	4.18%	49.423	0	36.22959855
SH688097	博众精工	28.53	-0.1	-0.35%	-0.24%	1225.5474	0.55	0.83%	33.966	0	126.7604419
SH688009	中国通号	5.73	-0.02	-0.35%	19.62%	20129.8927	0.61	0.41%	16.563	2.967	606.7966287
SH688065	凯赛生物	53.46	-0.19	-0.35%	-12.78%	3146.8849	0.69	0.22%	71.493	0.337	311.8205231
SH688522	纳睿雷达	49.85	-0.18	-0.36%	7.86%	5399.821	0.61	3.03%	71.911	1.003	77.1013998
SH688521	芯原股份	77	-0.28	-0.36%	74.72%	34985.527	0.95	2.18%	亏损	0	383.8730819
SH688298	东方生物	53.95	-0.2	-0.37%	-30.04%	6033.2948	0.87	0.67%	亏损	3.707	90.636
SH688171	纬德信息	21.72	-0.08	-0.37%	14.38%	1276.0493	0.72	1.75%	56.472	0.645	18.19558248
SH688425	铁建重工	5.44	-0.02	-0.37%	37.72%	14387.4351	0.66	1.83%	15.403	1.912	290.1422368
SH688538	和辉光电	2.63	-0.01	-0.38%	-1.87%	4247.2587	0.86	0.28%	亏损	0	365.2973528
SH688485	九州一轨	15.21	-0.06	-0.39%	-12.94%	435.2768	0.48	0.90%	40.51	0.842	22.85942263
SH688777	中控技术	98.39	-0.4	-0.40%	8.32%	19235.1836	0.58	0.53%	64.155	0.762	532.7641398
SH688251	井松智能	26.52	-0.11	-0.41%	-10.80%	416.2918	0.47	1.11%	35.147	0.377	15.76042865
SH688306	均普智能	4.77	-0.02	-0.42%	0.42%	1028.8332	0.7	0.47%	亏损	0	58.58908956
SH688531	日联科技	159.62	-0.68	-0.42%	4.75%	10077.0883	1.15	3.66%	158.266	0.188	126.7470064
SH688550	瑞联新材	42.47	-0.18	-0.42%	-8.88%	2259.3714	0.99	0.73%	23.114	2.826	41.78992619
SH688350	富淼科技	16.45	-0.07	-0.42%	0.06%	1602.8709	0.88	1.54%	17.652	1.508	20.093675
SH688187	时代电气	46.5	-0.2	-0.43%	-14.79%	6839.6168	0.52	0.70%	24.851	1.183	658.5501641
SH688333	铂力特	85.72	-0.38	-0.44%	-15.88%	5600.4594	0.89	0.41%	164.307	0.058	137.0507261
SH688116	天奈科技	52.77	-0.24	-0.45%	-31.59%	14285.1535	0.87	1.16%	33.712	0.18	122.7013692
SH688339	亿华通	81.6	-0.37	-0.45%	10.27%	5356.9217	0.98	0.81%	亏损	0	96.44290699
SH688722	同益中	17.34	-0.08	-0.46%	-3.99%	3278.8762	0.7	1.55%	20.011	2.595	38.95720578
SH688499	利元亨	91.3	-0.43	-0.47%	-41.99%	5506.2248	0.84	1.51%	56.297	0.438	80.62188251
SH688299	长阳科技	14.96	-0.07	-0.47%	-8.50%	2676.2579	0.89	0.71%	41.659	0.334	42.91035338
SH688679	通源环境	14.9	-0.07	-0.47%	37.84%	958.2176	0.42	1.07%	42.419	0.698	19.62176158
SH688202	美迪西	141.9	-0.68	-0.48%	-33.66%	14737.9909	0.77	1.57%	34.052	0.275	123.476703
SH688195	腾景科技	26.33	-0.13	-0.49%	15.70%	2927.8138	0.67	1.42%	62.413	0.532	34.057855
SH688408	中信博	72.02	-0.36	-0.50%	-26.81%	11760.9567	0.85	2.21%	106.086	0.139	97.7422887
SH688262	国芯科技	51.58	-0.26	-0.50%	23.37%	25667.0203	1.02	2.66%	248.84	0.485	123.792
SH688225	亚信安全	21.82	-0.11	-0.50%	29.04%	1999.7904	0.63	0.84%	106.558	0.115	87.282182
SH688148	芳源股份	11.45	-0.06	-0.52%	-21.52%	3607.7487	0.63	0.82%	720.986	0	58.57889307
SH688193	仁度生物	42.12	-0.23	-0.54%	-9.85%	368.5428	0.62	0.29%	12722.76	0.297	16.848
SH688561	奇安信	55.65	-0.3	-0.54%	-15.39%	17251.2398	0.82	0.67%	8750.503	0	381.2572457
SH688161	威高骨科	48.6	-0.27	-0.55%	-6.88%	3555.5185	1.16	0.96%	33.523	0.844	194.4
SH688269	凯立新材	60.98	-0.34	-0.55%	-28.93%	3366.1403	0.77	0.90%	38.545	1.148	79.7032992
SH688026	洁特生物	19.39	-0.11	-0.56%	-19.41%	1180.1292	0.72	0.43%	71.813	0.366	27.21642836
SH688015	交控科技	19.17	-0.11	-0.57%	-20.12%	1088.2386	0.53	0.30%	16.551	1.93	36.02876167
SH688295	中复神鹰	36.16	-0.21	-0.58%	-16.24%	3807.3035	0.62	0.84%	52.629	0.277	325.44
SH688178	万德斯	18.86	-0.11	-0.58%	8.14%	956.1973	2.05	0.59%	70.779	1.379	16.07823977
SH688779	长远锂科	11.75	-0.07	-0.59%	-19.47%	8394.8097	0.72	0.71%	19.105	1.974	226.681737
SH688683	莱尔科技	22.07	-0.13	-0.59%	10.29%	1024.9485	0.86	0.87%	75.294	0.453	34.23121643
SH688069	德林海	28.13	-0.17	-0.60%	9.03%	408.4651	0.5	0.29%	61.477	0.675	23.40517268
SH688511	天微电子	32.45	-0.2	-0.61%	14.18%	967.5218	0.6	0.73%	66.813	0	25.96
SH688300	联瑞新材	62.1	-0.38	-0.61%	27.57%	2994.8077	1.04	0.39%	44.422	0.733	77.41474803
SH688275	万润新能	147.97	-0.91	-0.61%	-15.52%	2473.1922	0.57	0.84%	18.222	2.379	126.0928989
SH688700	东威科技	95.5	-0.6	-0.62%	-33.29%	47741.7547	1	5.48%	62.65	0.461	140.576
SH688008	澜起科技	53.81	-0.34	-0.63%	-14.04%	90452.3304	1.2	1.47%	60.348	0.558	611.3236477
SH688456	有研粉材	29.99	-0.19	-0.63%	-11.79%	2437.0617	0.96	1.28%	61.353	0.667	31.087634
SH688357	建龙微纳	96.1	-0.66	-0.68%	-13.35%	4261.8905	0.66	0.75%	26.629	1.041	57.13130297
SH688107	安路科技	48.51	-0.34	-0.70%	-24.44%	7473.061	0.89	0.81%	亏损	0	194.08851
SH688608	恒玄科技	144.08	-1.02	-0.70%	26.39%	20089.2827	0.61	1.73%	174.363	0	172.896
SH688366	昊海生科	91.74	-0.65	-0.70%	-5.95%	5863.6124	1.06	0.55%	78.557	0.435	157.667918
SH688392	骄成超声	130.57	-0.93	-0.71%	-9.77%	15214.7695	0.63	6.36%	86.814	0.766	107.0674
SH688428	诺诚健华	13.92	-0.1	-0.71%	-1.35%	6308.0811	0.73	1.84%	亏损	0	245.5935461
SH688301	奕瑞科技	268.66	-1.94	-0.72%	-17.19%	7384.6097	0.61	0.47%	40.379	0.771	273.4100485
SH688168	安博通	34.72	-0.26	-0.74%	8.53%	3945.3227	0.79	1.49%	亏损	0	26.48882822
SH688518	联赢激光	26.14	-0.2	-0.76%	-10.51%	7522.3344	0.57	1.14%	25.928	0.459	88.16825297
SH688181	八亿时空	33.81	-0.26	-0.76%	-7.62%	2031.6269	0.72	0.73%	20.426	0.946	32.61752603
SH688358	祥生医疗	57.3	-0.45	-0.78%	66.57%	18964.2769	0.64	3.47%	48.124	1.222	64.2473597
SH688595	芯海科技	33.03	-0.26	-0.78%	-17.90%	4138.8262	0.81	1.58%	亏损	0	47.02846511
SH688345	博力威	38	-0.3	-0.78%	-27.58%	1432.0314	0.67	1.55%	47.866	1.053	38
SH688182	灿勤科技	18.9	-0.15	-0.79%	64.63%	6585.9925	0.95	3.61%	107.529	0.37	75.6
SH688336	三生国健	17.36	-0.14	-0.80%	36.69%	3671.8343	0.86	2.27%	129.845	0	107.0740137
SH688375	国博电子	77.97	-0.63	-0.80%	-18.60%	3937.0729	0.71	1.56%	58.17	0.641	311.887797
SH688678	福立旺	16.14	-0.13	-0.80%	-15.89%	2222.8268	0.67	1.53%	21.348	1.859	27.97869
SH688011	新光光电	24.05	-0.2	-0.82%	11.55%	1070.8044	0.79	0.80%	亏损	0	24.05
SH688367	工大高科	16.71	-0.14	-0.83%	5.63%	606.0432	0.63	0.63%	28.484	1.197	14.55468404
SH688399	硕世生物	62.8	-0.53	-0.84%	-28.40%	3200.6221	0.84	0.96%	3.127	0	36.81336
SH688386	泛亚微透	42.42	-0.38	-0.89%	-23.50%	1726.0536	0.6	0.85%	119.338	1.179	29.694
SH688020	方邦股份	48.7	-0.44	-0.90%	-7.71%	2145.0888	0.45	0.55%	亏损	0	39.0625135
SH688059	华锐精密	110.99	-1.01	-0.90%	-31.06%	4225.8065	0.82	1.50%	32.491	1.081	48.84458575
SH688788	科思科技	39.19	-0.36	-0.91%	8.59%	2349.8192	0.98	0.92%	亏损	0	41.44261181
SH688218	江苏北人	15.99	-0.15	-0.93%	7.46%	2363.2587	0.49	1.25%	50.408	0.563	18.83553243
SH688786	悦安新材	41.35	-0.39	-0.93%	-0.29%	1013.286	0.72	0.47%	40.058	1.451	35.3297708
SH688455	科捷智能	13.69	-0.13	-0.94%	0.59%	833.2796	0.96	1.50%	32.194	1.461	24.75825096
SH688129	东来技术	13.67	-0.13	-0.94%	4.27%	491.8691	0.96	0.87%	121.206	0	16.404
SH688244	永信至诚	91.1	-0.9	-0.98%	67.16%	4393.1115	1.26	4.81%	82.84	0.362	42.66331703
SH688080	映翰通	56.81	-0.57	-0.99%	38.29%	4207.1348	0.76	1.78%	38.432	0.246	29.86644634
SH688516	奥特维	171.11	-1.71	-0.99%	-14.87%	8802.5174	0.68	0.68%	32.023	0.933	264.9249263
SH688047	龙芯中科	132.01	-1.34	-1.00%	54.49%	16005.0222	0.67	3.68%	亏损	0	529.3601
SH688022	瀚川智能	45.6	-0.47	-1.02%	-5.79%	3015.9435	0.73	0.60%	195.946	0.281	56.97171386
SH688667	菱电电控	69.07	-0.71	-1.02%	-20.63%	1107.3496	0.52	0.80%	65.626	0.217	35.7866451
SH688058	宝兰德	54.02	-0.56	-1.03%	32.21%	3830.1524	0.74	1.27%	亏损	0	30.2512
SH688231	隆达股份	27.78	-0.29	-1.03%	-22.23%	1659.6805	0.99	1.12%	65.751	1.296	68.57691433
SH688320	禾川科技	32.68	-0.34	-1.03%	-30.17%	4488.804	0.85	1.61%	53.611	0.551	49.3512667
SH688016	心脉医疗	167.91	-1.77	-1.04%	-11.18%	8273.3944	0.88	0.68%	33.737	1.37	120.8585066
SH688309	恒誉环保	20.93	-0.22	-1.04%	5.92%	482.5775	0.4	0.51%	125.48	0.354	16.74624642
SH688315	诺禾致源	32.7	-0.35	-1.06%	23.91%	4331.2428	0.91	1.20%	72.355	0.144	130.8654
SH688279	峰岹科技	82.1	-0.9	-1.08%	-4.65%	4547.9836	1.03	0.99%	52.759	0.585	75.83033498
SH688630	芯碁微装	68.69	-0.75	-1.08%	-17.68%	6916.2837	0.6	1.47%	55.164	0	82.97752
SH688028	沃尔德	28.35	-0.31	-1.08%	-9.34%	1289.6354	0.61	0.48%	47.129	1.058	31.06620216
SH688393	安必平	24.25	-0.27	-1.10%	10.23%	2059.853	0.45	1.40%	73.276	0.577	22.63495
SH688981	中芯国际	54.25	-0.62	-1.13%	31.87%	204074.7535	0.52	1.91%	39.512	0	4299.302019
SH688551	科威尔	65.95	-0.76	-1.14%	35.14%	3608.6315	0.82	1.77%	68.912	0.561	52.959967
SH688179	阿拉丁	32.58	-0.38	-1.15%	-9.88%	2560.6219	0.81	1.07%	58.601	0.767	46.0388788
SH688519	南亚新材	19.83	-0.23	-1.15%	-4.70%	2830.1836	1.19	1.55%	亏损	1.261	46.55124228
SH688048	长光华芯	86.24	-1.01	-1.16%	-10.86%	8275.2986	1.4	2.02%	125.596	0.406	116.9414021
SH688507	索辰科技	195.7	-2.3	-1.16%	-20.30%	12006.248	0.79	6.86%	164.879	0.077	80.8894638
SH688105	诺唯赞	33.82	-0.4	-1.17%	-36.36%	3531.9037	0.65	0.62%	120.506	3.696	135.283382
SH688636	智明达	72.87	-0.86	-1.17%	-30.94%	3113.3949	0.67	1.42%	56.382	0	36.79812578
SH688049	炬芯科技	33.51	-0.4	-1.18%	23.88%	8439.7589	0.86	2.78%	79.744	0.597	40.8822
